date,contest,rank,performance,new_rating,diff
2022-10-01 22:40:00+0900,KYOCERA Programming Contest 2022（AtCoder Beginner Contest 271）,6846,-,-,-
2022-10-15 22:40:00+0900,Panasonic Programming Contest 2022(AtCoder Beginner Contest 273),403,1854,1540,+40
2022-10-29 22:40:00+0900,AtCoder Beginner Contest 275,119,2400,1662,+122
2022-11-05 22:40:00+0900,AtCoder Beginner Contest 276,238,2114,1716,+54
2023-04-09 22:40:00+0900,AtCoder Beginner Contest 297,6684,-,-,-
2023-05-20 22:40:00+0900,TOYOTA MOTOR CORPORATION Programming Contest 2023#2 (AtCoder Beginner Contest 302),7509,-,-,-
2023-10-14 22:40:00+0900,Japan Registry Services (JPRS) Programming Contest 2023 (AtCoder Beginner Contest 324),10800,-,-,-
2023-10-28 22:40:00+0900,Panasonic Programming Contest 2023（AtCoder Beginner Contest 326）,9755,-,-,-
2023-12-09 23:00:00+0900,estie Programming Contest 2023 (AtCoder Regular Contest 169),1711,-,-,-
2024-01-06 22:40:00+0900,AtCoder Beginner Contest 335 (Sponsored by Mynavi),10288,-,-,-
