contest,start_time,rank,solved,rating_change,new_rating
Codeforces Round 905 (Div. 2),2023-10-22 14-5-0,394,5,-7,1950
"Codeforces Round 902 (Div. 1, based on COMPFEST 15 - Final Round)",2023-10-8 12-5-0,696,2,-6,1957
Codeforces Round 893 (Div. 2),2023-8-15 17-35-0,340,3,+43,1963
Codeforces Round 892 (Div. 2),2023-8-12 17-35-0,247,4,+86,1920
Codeforces Round 890 (Div. 2) supported by Constructor Institute,2023-8-5 17-35-0,347,4,+94,1834
Codeforces Round 889 (Div. 2),2023-7-29 17-35-0,4828,2,-116,1740
Educational Codeforces Round 152 (Rated for Div. 2),2023-7-27 17-35-0,278,4,+90,1856
Codeforces Round 861 (Div. 2),2023-3-29 12-5-0,1203,2,-35,1766
Codeforces Round 858 (Div. 2),2023-3-18 15-5-0,442,3,+53,1801
Codeforces Round 857 (Div. 2),2023-3-9 12-35-0,809,3,-28,1748
